order,global
0,77.68595041322314
1,77.68595041322314
2,67.2811059907834
3,78.72340425531915
4,54.74452554744526
5,58.2089552238806
6,85.60606060606061
7,68.18181818181817
8,76.5625
9,89.0625
10,50.0
11,79.13043478260869
12,70.09345794392523
13,73.73737373737373
14,78.49462365591397
15,73.33333333333333
16,70.93023255813954
17,80.0
18,84.52380952380952
19,67.07317073170732
20,71.60493827160494
21,78.75
22,73.41772151898735
23,74.68354430379746
24,67.10526315789474
25,88.0
26,84.50704225352112
27,79.71014492753623
28,75.36231884057972
29,70.58823529411765
30,64.17910447761194
31,50.74626865671642
32,69.6969696969697
33,74.24242424242425
34,72.3076923076923
35,82.53968253968253
36,82.25806451612904
37,75.40983606557377
38,72.1311475409836
39,71.1864406779661
40,74.57627118644068
41,60.3448275862069
42,77.19298245614034
43,87.71929824561403
44,61.40350877192983
45,62.5
46,64.28571428571429
47,60.71428571428571
48,58.92857142857143
49,69.0909090909091
50,78.18181818181819
51,75.92592592592592
52,75.92592592592592
53,79.62962962962963
54,61.111111111111114
55,79.62962962962963
56,29.629629629629626
57,67.9245283018868
58,80.76923076923077
59,63.46153846153846
60,36.53846153846153
61,65.38461538461539
62,90.19607843137256
63,70.58823529411765
64,68.62745098039215
65,70.58823529411765
66,74.50980392156863
67,70.58823529411765
68,78.0
69,88.0
70,84.0
71,70.0
72,69.38775510204081
73,73.46938775510205
74,70.2127659574468
75,82.6086956521739
76,82.6086956521739
77,80.43478260869566
78,76.08695652173914
79,88.88888888888889
80,88.88888888888889
81,57.77777777777777
82,71.11111111111111
83,84.44444444444444
84,68.18181818181817
85,81.81818181818183
86,79.54545454545455
87,65.11627906976744
88,83.72093023255815
89,69.76744186046511
90,81.3953488372093
91,48.837209302325576
92,55.81395348837209
93,66.66666666666666
94,71.42857142857143
95,58.536585365853654
96,68.29268292682927
97,73.17073170731707
98,58.536585365853654
99,62.5
100,72.5
101,69.23076923076923
102,64.1025641025641
103,28.947368421052634
104,76.31578947368422
105,71.05263157894737
106,86.8421052631579
107,81.57894736842105
108,59.45945945945946
109,72.97297297297297
110,81.08108108108108
111,75.67567567567568
112,83.78378378378379
113,62.16216216216216
114,78.37837837837837
115,67.56756756756756
116,80.55555555555556
117,86.11111111111111
118,88.88888888888889
119,61.111111111111114
120,77.77777777777779
121,55.55555555555556
122,75.0
123,82.85714285714286
124,80.0
125,48.57142857142857
126,74.28571428571429
127,42.857142857142854
128,60.0
129,52.94117647058824
130,55.88235294117647
131,91.17647058823529
132,55.88235294117647
133,63.63636363636363
134,66.66666666666666
135,72.72727272727273
136,72.72727272727273
137,66.66666666666666
138,72.72727272727273
139,66.66666666666666
140,75.0
141,75.0
142,81.25
143,62.5
144,59.375
145,93.75
146,62.5
147,62.5
148,68.75
149,74.19354838709677
150,80.64516129032258
151,83.87096774193549
152,70.96774193548387
153,70.96774193548387
154,74.19354838709677
155,74.19354838709677
156,80.64516129032258
157,83.87096774193549
158,54.83870967741935
159,73.33333333333333
160,56.666666666666664
161,63.33333333333333
162,76.66666666666667
163,83.33333333333334
164,82.75862068965517
165,51.724137931034484
166,82.75862068965517
167,48.275862068965516
168,75.86206896551724
169,75.0
170,64.28571428571429
171,78.57142857142857
172,64.28571428571429
173,92.5925925925926
174,74.07407407407408
175,48.148148148148145
176,48.148148148148145
177,92.5925925925926
178,62.96296296296296
179,80.76923076923077
180,92.3076923076923
181,61.53846153846154
182,69.23076923076923
183,61.53846153846154
184,57.692307692307686
185,80.76923076923077
186,80.0
187,76.0
188,40.0
189,64.0
190,60.0
191,84.0
192,64.0
193,68.0
194,60.0
195,56.00000000000001
196,64.0
197,79.16666666666666
198,83.33333333333334
199,83.33333333333334
200,87.5
201,83.33333333333334
202,75.0
203,83.33333333333334
204,66.66666666666666
205,87.5
206,87.5
207,70.83333333333334
208,82.6086956521739
209,78.26086956521739
210,65.21739130434783
211,86.95652173913044
212,73.91304347826086
213,65.21739130434783
214,56.52173913043478
215,73.91304347826086
216,69.56521739130434
217,8.695652173913043
218,65.21739130434783
219,47.82608695652174
220,52.17391304347826
221,60.86956521739131
222,91.30434782608695
223,78.26086956521739
224,77.27272727272727
225,81.81818181818183
226,50.0
227,68.18181818181817
228,36.36363636363637
229,77.27272727272727
230,72.72727272727273
231,68.18181818181817
232,61.904761904761905
233,80.95238095238095
234,76.19047619047619
235,57.14285714285714
236,85.71428571428571
237,61.904761904761905
238,61.904761904761905
239,80.95238095238095
240,85.71428571428571
241,71.42857142857143
242,66.66666666666666
243,76.19047619047619
244,100.0
245,85.71428571428571
246,66.66666666666666
247,75.0
248,45.0
249,65.0
250,70.0
251,85.0
252,75.0
253,80.0
254,70.0
255,65.0
256,84.21052631578947
257,73.68421052631578
258,84.21052631578947
