filename,newness
0,77.68595041322314
1,77.68595041322314
2,74.46504992867332
3,75.17814726840855
4,72.31869254341164
5,70.61994609164421
6,72.20883534136546
7,71.82280319535221
8,72.22591362126246
9,73.54562155541947
10,71.83418512208972
11,72.28144989339019
12,72.16338880484115
13,72.23823246878001
14,72.50574712643679
15,72.53863134657837
16,72.47979583156103
17,72.74220032840722
18,73.13492063492063
19,72.94388931591084
20,72.90346626910174
21,73.0727470141151
22,73.082336382829
23,73.12564190345772
24,72.97297297297297
25,73.33984375
26,73.59210944957047
27,73.72353673723536
28,73.75800060957025
29,73.69363989250523
30,73.50702576112413
31,73.06919322423198
32,73.0064806987884
33,73.02904564315352
34,73.0163043478261
35,73.17659631311783
36,73.32457293035479
37,73.35747542679772
38,73.33842627960276
39,73.30657300551931
40,73.32509270704574
41,73.14160370460638
42,73.19711538461539
43,73.39340763576003
44,73.23350491343005
45,73.094688221709
46,72.98221614227086
47,72.82755515533543
48,72.65451311694086
49,72.61146496815286
50,72.67795138888889
51,72.71557271557272
52,72.75233248515691
53,72.83018867924528
54,72.69900497512438
55,72.77572775727758
56,72.30332522303326
57,72.2567703109328
58,72.34464959301171
59,72.25388091963057
60,71.89262789340594
61,71.82746004236472
62,72.00610221205187
63,71.99244570349386
64,71.9603441825664
65,71.9473781730591
66,71.97136563876651
67,71.95853791598472
68,72.01297531086682
69,72.155742096803
70,72.26057709329085
71,72.24074399017371
72,72.21642310368824
73,72.22701397274453
74,72.21081451060917
75,72.29202037351443
76,72.37196765498652
77,72.43396857238382
78,72.46184472461846
79,72.58356660629013
80,72.7034978751226
81,72.5945156579588
82,72.58376288659794
83,72.66911882296498
84,72.63776401461013
85,72.70146664563948
86,72.74862960062647
87,72.69757311761046
88,72.77082367485706
89,72.75099785078292
90,72.8076864419704
91,72.65151515151516
92,72.54252596718351
93,72.5056095736724
94,72.49888508993608
95,72.41430260047281
96,72.38948450580115
97,72.3941605839416
98,72.31171092729647
99,72.25508584619824
100,72.25649117773634
101,72.23965763195434
102,72.19463753723933
103,71.96274869479329
104,71.98596491228069
105,71.98101354181209
106,72.05943618941814
107,72.10940737670948
108,72.04507971412865
109,72.04977437440175
110,72.09523809523809
111,72.1131717882767
112,72.17133620689656
113,72.12169950408793
114,72.15257401973861
115,72.1300597213006
116,72.17012283714172
117,72.23609833048508
118,72.31453617689388
119,72.26201328297955
120,72.28775113415425
121,72.21003741452716
122,72.22293566200078
123,72.27051904883662
124,72.30495099910908
125,72.19969589457679
126,72.20890626971112
127,72.07987942727958
128,72.0270101287983
129,71.94620844228614
130,71.87848729076255
131,71.95950117298432
132,71.89229066765031
133,71.85892725936812
134,71.83802902793023
135,71.8415937803693
136,71.84513006654566
137,71.82453603277898
138,71.82811187132397
139,71.80774748923959
140,71.81991424487852
141,71.83198860939724
142,71.8676122931442
143,71.83231276495525
144,71.78554669169404
145,71.86769518466573
146,71.8327899394504
147,71.79814385150813
148,71.78687008784095
149,71.79546239778878
150,71.82694514574249
151,71.8696397941681
152,71.86645396536008
153,71.86329056432383
154,71.87146413215659
155,71.87958056150637
156,71.91011235955057
157,71.95162915686933
158,71.89243472439188
159,71.89724199288257
160,71.84659720682775
161,71.81838267786125
162,71.83439770975556
163,71.87225636523266
164,71.90679356744339
165,71.84296619411124
166,71.87737797586693
167,71.80320762895536
168,71.8159230852328
169,71.82552504038773
170,71.8028562224847
171,71.82314527352533
172,71.8006190628669
173,71.86036611323968
174,71.86670911599279
175,71.7989417989418
176,71.73156062044951
177,71.79082491582491
178,71.76581680830972
179,71.79031076697709
180,71.84597725138265
181,71.81808720990738
182,71.81110534509601
183,71.7834592692268
184,71.74563848456694
185,71.76979306084628
186,71.79092216060793
187,71.80170029703984
188,71.72047404985696
189,71.7008050545195
190,71.67107135596666
191,71.70232180878028
192,71.68284789644012
193,71.67355997175426
194,71.64419400281746
195,71.60493827160494
196,71.58590308370044
197,71.60407510986816
198,71.6321243523316
199,71.66003976143142
200,71.69773899246331
201,71.72536604669568
202,71.73312277931306
203,71.76053564395431
204,71.74852652259332
205,71.78557428459428
206,71.82244818146265
207,71.82013265704252
208,71.84428223844283
209,71.85861332297534
210,71.84381358395504
211,71.87741686001546
212,71.8819330568149
213,71.86717998075072
214,71.83328531643139
215,71.83786891529321
216,71.83287121139689
217,71.69433314253006
218,71.68015230842457
219,71.6280395136778
220,71.58563169367832
221,71.56232267826745
222,71.60517127488913
223,71.6195856873823
224,71.63127231723361
225,71.652288072018
226,71.60771102376941
227,71.60067239447142
228,71.52842497670085
229,71.54017857142857
230,71.54260256172267
231,71.53575398295665
232,71.51705648516224
233,71.53533862336225
234,71.54434109954876
235,71.51654411764706
236,71.54389505549949
237,71.52536165537448
238,71.50689938773645
