filename,global
201800000.json,100.0
201800001.json,100.0
201800002.json,88.46153846153845
201800003.json,91.35802469135803
201800004.json,86.70886075949366
201800005.json,84.35754189944134
201800006.json,85.78680203045685
201800007.json,85.78680203045685
201800008.json,86.4406779661017
201800009.json,86.0082304526749
201800010.json,87.26591760299625
201800011.json,87.22627737226277
201800012.json,87.22627737226277
201800013.json,89.76608187134502
201800014.json,89.42857142857143
201800015.json,88.51540616246498
201800016.json,89.26701570680629
201800017.json,92.27871939736346
201800018.json,90.95652173913044
201800019.json,90.95652173913044
201800020.json,90.79861111111111
201800021.json,90.51724137931035
201800022.json,90.66213921901529
201800023.json,90.66213921901529
201800024.json,90.69373942470389
201800025.json,90.57239057239057
201800026.json,90.45226130653266
201800027.json,90.45226130653266
201800028.json,90.51580698835274
201800029.json,90.51580698835274
201800030.json,90.51580698835274
201800031.json,90.36544850498339
201800032.json,90.0
201800033.json,90.3076923076923
201800034.json,90.38167938931298
201800035.json,90.51204819277109
201800036.json,90.52631578947368
201800037.json,90.92219020172911
201800038.json,91.0
201800039.json,91.05113636363636
201800040.json,93.0
201800041.json,91.73728813559322
201800042.json,91.44008056394763
201800043.json,92.69759450171821
201800044.json,92.930086410055
201800045.json,93.25842696629213
201800046.json,93.26347305389223
201800047.json,92.43323442136499
201800048.json,92.43323442136499
201800049.json,91.90751445086705
201800050.json,91.97707736389685
201800051.json,92.0623671155209
201800052.json,91.76636171710064
201800053.json,91.51472650771389
201800054.json,91.46256123163052
201800055.json,91.06529209621993
201800056.json,91.05191256830601
201800057.json,91.0142954390742
201800058.json,91.0495814552479
201800059.json,91.25235997482693
201800060.json,91.13607990012484
201800061.json,90.87523277467412
201800062.json,90.87523277467412
201800063.json,90.89783281733746
201800064.json,90.83640836408364
201800065.json,90.77017114914425
201800066.json,90.67073170731707
201800067.json,90.6764168190128
201800068.json,90.68776628119294
201800069.json,90.69908814589665
201800070.json,90.51825677267374
201800071.json,90.82098061573546
201800072.json,90.82098061573546
201800073.json,90.82098061573546
201800074.json,90.82098061573546
201800075.json,90.82098061573546
201800076.json,90.82621082621083
201800077.json,90.83665338645417
201800078.json,90.78498293515358
201800079.json,90.79022171688459
201800080.json,90.64095292115711
201800081.json,90.63205417607223
201800082.json,90.58624577226607
201800083.json,90.48423423423422
201800084.json,90.43869516310461
201800085.json,90.4494382022472
201800086.json,90.4494382022472
201800087.json,90.40942232192933
201800088.json,91.00946372239747
201800089.json,91.00946372239747
201800090.json,90.97112860892388
201800091.json,91.05098855359
201800092.json,91.20654396728017
201800093.json,91.22448979591836
201800094.json,91.19144602851324
201800095.json,90.88145896656535
201800096.json,90.87701612903226
201800097.json,90.80863887493722
201800098.json,90.87736789631107
201800099.json,90.79601990049751
201800100.json,90.79601990049751
201800101.json,90.80973671137606
201800102.json,90.76923076923077
201800103.json,90.73891625615764
201800104.json,90.73075036782737
201800105.json,90.73529411764706
201800106.json,90.7488986784141
201800107.json,90.72265625
201800108.json,90.72265625
201800109.json,90.74975657254139
201800110.json,91.08818011257036
201800111.json,91.64467897977133
201800112.json,91.63381515549716
201800113.json,91.7208495882098
201800114.json,91.53416415986248
201800115.json,91.49484536082474
201800116.json,91.44933732364258
201800117.json,91.31161236424394
201800118.json,91.49284253578732
201800119.json,91.19420989143546
201800120.json,91.31985731272295
201800121.json,91.33016627078385
201800122.json,91.22944400939701
201800123.json,91.3009708737864
201800124.json,91.3312693498452
201800125.json,91.32437619961613
201800126.json,91.32262996941895
201800127.json,93.33529066353495
201800128.json,93.24009324009323
201800129.json,93.12445604873804
201800130.json,94.20254403131115
201800131.json,94.18208373904577
201800132.json,94.20184376516254
201800133.json,94.31899215593059
201800134.json,94.3216916132098
201800135.json,94.27825261158594
201800136.json,94.15937573894537
201800137.json,94.14403778040142
201800138.json,94.06919275123559
201800139.json,94.01689347724074
201800140.json,94.02810304449649
201800141.json,94.06424581005587
201800142.json,94.02675276752768
201800143.json,93.93382352941177
201800144.json,93.80995888533576
201800145.json,93.76712328767123
201800146.json,93.76854599406528
201800147.json,93.77564979480164
201800148.json,93.78556794900979
201800149.json,93.76989540700318
201800150.json,93.81070702507341
201800151.json,93.70927881374972
201800152.json,93.59231971422193
201800153.json,93.54909731395861
201800154.json,93.47252747252747
201800155.json,93.48206474190727
201800156.json,93.44978165938865
201800157.json,93.4640522875817
201800158.json,93.5050876813163
201800159.json,93.4613724643936
201800160.json,93.39074273412271
201800161.json,93.39178785286569
201800162.json,93.41291835429546
201800163.json,93.43251859723698
201800164.json,93.33757691491618
201800165.json,93.39920117721253
201800166.json,93.05236803672021
201800167.json,93.00470443853548
201800168.json,92.85714285714286
