filename,newness
201800000.json,100.0
201800001.json,50.0
201800002.json,70.83333333333334
201800003.json,72.8395061728395
201800004.json,68.71165644171779
201800005.json,65.36312849162012
201800006.json,64.94845360824742
201800007.json,64.94845360824742
201800008.json,68.64406779661016
201800009.json,68.75
201800010.json,69.34865900383141
201800011.json,70.0374531835206
201800012.json,70.0374531835206
201800013.json,69.52054794520548
201800014.json,69.49152542372882
201800015.json,68.77076411960132
201800016.json,69.30379746835443
201800017.json,68.70748299319727
201800018.json,69.39203354297693
201800019.json,69.39203354297693
201800020.json,69.24686192468619
201800021.json,69.29460580912863
201800022.json,68.71165644171779
201800023.json,68.71165644171779
201800024.json,68.77551020408164
201800025.json,68.76267748478702
201800026.json,68.88888888888889
201800027.json,68.88888888888889
201800028.json,69.07630522088354
201800029.json,69.07630522088354
201800030.json,69.07630522088354
201800031.json,68.93787575150301
201800032.json,69.31818181818183
201800033.json,69.14498141263941
201800034.json,68.81918819188192
201800035.json,68.7956204379562
201800036.json,68.6703096539162
201800037.json,69.45898778359512
201800038.json,69.49740034662045
201800039.json,69.70740103270224
201800040.json,69.47535771065183
201800041.json,70.15384615384616
201800042.json,71.4080459770115
201800043.json,70.4874835309618
201800044.json,71.07438016528926
201800045.json,71.85761957730811
201800046.json,71.88888888888889
201800047.json,72.25877192982456
201800048.json,72.25877192982456
201800049.json,72.66949152542372
201800050.json,72.67015706806282
201800051.json,72.95336787564767
201800052.json,72.76464542651593
201800053.json,72.9038854805726
201800054.json,72.98674821610601
201800055.json,73.15369261477046
201800056.json,73.36633663366337
201800057.json,73.44521224086871
201800058.json,73.59705611775529
201800059.json,73.30316742081448
201800060.json,73.15978456014362
201800061.json,73.05976806422836
201800062.json,73.05976806422836
201800063.json,73.04270462633453
201800064.json,73.10405643738977
201800065.json,73.09377738825592
201800066.json,73.1004366812227
201800067.json,73.1239092495637
201800068.json,73.08362369337979
201800069.json,73.1304347826087
201800070.json,73.24894514767932
201800071.json,73.3387358184765
201800072.json,73.3387358184765
201800073.json,73.3387358184765
201800074.json,73.3387358184765
201800075.json,73.3387358184765
201800076.json,73.36032388663968
201800077.json,73.38187702265373
201800078.json,73.40339531123686
201800079.json,73.42487883683361
201800080.json,73.4891216760677
201800081.json,73.57886309047238
201800082.json,73.621103117506
201800083.json,73.58339984038308
