order,cited_count,global,cluster
0,242,77.68595041322314,0
1,242,77.68595041322314,0
2,217,67.2811059907834,0
3,141,78.72340425531915,0
4,137,54.74452554744526,0
5,134,58.2089552238806,0
6,132,85.60606060606061,0
7,132,68.18181818181817,0
8,128,76.5625,0
9,128,89.0625,0
10,128,50.0,0
11,115,79.13043478260869,0
12,107,70.09345794392523,0
13,99,73.73737373737373,0
14,93,78.49462365591397,0
15,90,73.33333333333333,0
16,86,70.93023255813954,0
17,85,80.0,0
18,84,84.52380952380952,0
19,82,67.07317073170732,0
20,81,71.60493827160494,0
21,80,78.75,0
22,79,73.41772151898735,0
23,79,74.68354430379746,0
24,76,67.10526315789474,0
25,75,88.0,0
26,71,84.50704225352112,0
27,69,79.71014492753623,0
28,69,75.36231884057972,0
29,68,70.58823529411765,0
30,67,64.17910447761194,0
31,67,50.74626865671642,0
32,66,69.6969696969697,0
33,66,74.24242424242425,0
34,65,72.3076923076923,0
35,63,82.53968253968253,0
36,62,82.25806451612904,0
37,61,75.40983606557377,0
38,61,72.1311475409836,0
39,59,71.1864406779661,0
40,59,74.57627118644068,0
41,58,60.3448275862069,0
42,57,77.19298245614034,0
43,57,87.71929824561403,0
44,57,61.40350877192983,0
45,56,62.5,0
46,56,64.28571428571429,0
47,56,60.71428571428571,0
48,56,58.92857142857143,0
49,55,69.0909090909091,0
50,55,78.18181818181819,0
51,54,75.92592592592592,0
52,54,75.92592592592592,0
53,54,79.62962962962963,0
54,54,61.11111111111112,0
55,54,79.62962962962963,0
56,54,29.629629629629623,1
57,53,67.9245283018868,0
58,52,80.76923076923077,0
59,52,63.46153846153846,0
60,52,36.53846153846153,0
61,52,65.38461538461539,0
62,51,90.19607843137256,0
63,51,70.58823529411765,0
64,51,68.62745098039215,0
65,51,70.58823529411765,0
66,51,74.50980392156863,0
67,51,70.58823529411765,0
68,50,78.0,0
69,50,88.0,0
70,50,84.0,0
71,50,70.0,0
72,49,69.38775510204081,0
73,49,73.46938775510205,0
74,47,70.2127659574468,0
75,46,82.6086956521739,0
76,46,82.6086956521739,0
77,46,80.43478260869566,0
78,46,76.08695652173914,0
79,45,88.88888888888889,0
80,45,88.88888888888889,0
81,45,57.77777777777777,0
82,45,71.11111111111111,0
83,45,84.44444444444444,0
84,44,68.18181818181817,0
