order,cited_count,year,subject,country
11,115,"['2025~1', '2024~23', '2023~28', '2022~24', '2021~15', '2020~17', '2019~7']","['Medicine~105', 'Pharmacology, Toxicology and Pharmaceutics~21', 'Economics, Econometrics and Finance~14', 'Health Professions~10', 'Multidisciplinary~4', 'Social Sciences~4', 'Environmental Science~3', 'Arts and Humanities~2', 'Biochemistry, Genetics and Molecular Biology~2', 'Nursing~2']","['Thailand~71', 'United Kingdom~21', 'Netherlands~17', 'Singapore~13', 'United States~13', 'Australia~8', 'Canada~7', 'Norway~7', 'China~5', 'Denmark~4']"
12,107,"['2024~10', '2023~23', '2022~25', '2021~17', '2020~20', '2019~8', '2018~4']","['Agricultural and Biological Sciences~62', 'Immunology and Microbiology~42', 'Biochemistry, Genetics and Molecular Biology~31', 'Medicine~18', 'Environmental Science~12', 'Engineering~9', 'Chemical Engineering~6', 'Computer Science~3', 'Materials Science~2', 'Multidisciplinary~2']","['India~41', 'China~21', 'Thailand~10', 'South Korea~9', 'United States~8', 'Italy~6', 'Pakistan~5', 'United Kingdom~5', 'Australia~4', 'Brazil~4']"
13,99,"['2025~1', '2024~19', '2023~19', '2022~15', '2021~19', '2020~16', '2019~8', '2018~2']","['Biochemistry, Genetics and Molecular Biology~48', 'Neuroscience~44', 'Medicine~27', 'Chemistry~11', 'Agricultural and Biological Sciences~8', 'Chemical Engineering~7', 'Multidisciplinary~7', 'Computer Science~6', 'Pharmacology, Toxicology and Pharmaceutics~6', 'Immunology and Microbiology~5']","['United States~35', 'China~21', 'Germany~19', 'France~5', 'Russian Federation~5', 'United Kingdom~5', 'Canada~4', 'Finland~4', 'India~4', 'Spain~4']"
14,93,"['2024~29', '2023~21', '2022~14', '2021~9', '2020~11', '2019~6', '2018~3']","['Business, Management and Accounting~50', 'Social Sciences~31', 'Computer Science~30', 'Economics, Econometrics and Finance~21', 'Decision Sciences~12', 'Engineering~12', 'Arts and Humanities~5', 'Environmental Science~5', 'Psychology~5', 'Mathematics~4']","['India~25', 'China~12', 'Malaysia~11', 'Thailand~10', 'Indonesia~9', 'Australia~5', 'Bangladesh~4', 'Jordan~4', 'Brazil~3', 'Ghana~3']"
15,90,"['2024~24', '2023~11', '2022~16', '2021~15', '2020~11', '2019~6', '2018~7']","['Agricultural and Biological Sciences~78', 'Chemistry~25', 'Chemical Engineering~24', 'Biochemistry, Genetics and Molecular Biology~13', 'Engineering~10', 'Immunology and Microbiology~9', 'Medicine~5', 'Social Sciences~5', 'Environmental Science~4', 'Health Professions~4']","['China~39', 'Thailand~11', 'Iran~7', 'United States~7', 'Turkey~6', 'Brazil~5', 'India~5', 'Mexico~5', 'Ireland~4', 'Malaysia~3']"
16,86,"['2024~14', '2023~12', '2022~20', '2021~15', '2020~12', '2019~12', '2018~1']","['Agricultural and Biological Sciences~41', 'Biochemistry, Genetics and Molecular Biology~38', 'Environmental Science~23', 'Chemical Engineering~17', 'Energy~14', 'Immunology and Microbiology~13', 'Chemistry~10', 'Engineering~6', 'Medicine~6', 'Earth and Planetary Sciences~4']","['China~37', 'France~18', 'United States~13', 'India~9', 'Germany~8', 'Canada~5', 'Japan~4', 'South Korea~4', 'Denmark~3', 'Malaysia~3']"
17,85,"['2024~17', '2023~17', '2022~19', '2021~15', '2020~12', '2019~4', '2018~1']","['Social Sciences~63', 'Business, Management and Accounting~18', 'Computer Science~17', 'Engineering~14', 'Arts and Humanities~7', 'Environmental Science~7', 'Decision Sciences~6', 'Energy~6', 'Economics, Econometrics and Finance~5', 'Chemical Engineering~4']","['Thailand~36', 'Malaysia~8', 'Australia~7', 'India~7', 'Indonesia~6', 'United Kingdom~5', 'Philippines~3', 'South Africa~3', 'Viet Nam~3', 'Bahrain~2']"
18,84,"['2024~18', '2023~21', '2022~24', '2021~8', '2020~5', '2019~6', '2018~2']","['Environmental Science~34', 'Energy~33', 'Agricultural and Biological Sciences~27', 'Chemical Engineering~17', 'Engineering~17', 'Biochemistry, Genetics and Molecular Biology~13', 'Chemistry~5', 'Medicine~5', 'Earth and Planetary Sciences~4', 'Immunology and Microbiology~4']","['China~20', 'India~20', 'Malaysia~11', 'United States~9', 'Turkey~6', 'Indonesia~5', 'Taiwan~5', 'Thailand~5', 'Australia~4', 'Norway~4']"
19,82,"['2024~8', '2023~16', '2022~14', '2021~17', '2020~12', '2019~7', '2018~8']","['Agricultural and Biological Sciences~62', 'Immunology and Microbiology~20', 'Veterinary~18', 'Biochemistry, Genetics and Molecular Biology~14', 'Environmental Science~13', 'Medicine~8', 'Neuroscience~5', 'Chemical Engineering~2', 'Chemistry~1', 'Earth and Planetary Sciences~1']","['Thailand~42', 'India~13', 'China~12', 'United States~11', 'Malaysia~10', 'Brazil~4', 'Germany~4', 'Peru~4', 'Switzerland~4', 'Australia~3']"
20,81,"['2025~2', '2024~9', '2023~14', '2022~13', '2021~20', '2020~17', '2019~5', '2018~1']","['Materials Science~42', 'Physics and Astronomy~42', 'Chemistry~24', 'Engineering~16', 'Chemical Engineering~7', 'Energy~7', 'Environmental Science~4', 'Mathematics~4', 'Biochemistry, Genetics and Molecular Biology~3', 'Computer Science~2']","['Thailand~21', 'Egypt~18', 'India~13', 'China~11', 'Russian Federation~10', 'Saudi Arabia~8', 'Turkey~7', 'Iran~5', 'Japan~5', 'United Arab Emirates~4']"
