order,cited_count,year,subject,country
161,30,"['2024~6', '2023~5', '2022~3', '2021~5', '2020~4', '2019~5', '2018~2']","['Chemistry~16', 'Materials Science~14', 'Chemical Engineering~9', 'Environmental Science~4', 'Physics and Astronomy~4', 'Agricultural and Biological Sciences~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Engineering~2', 'Pharmacology, Toxicology and Pharmaceutics~2', 'Energy~1']","['China~11', 'Thailand~4', 'India~3', 'Canada~2', 'Ireland~2', 'Malaysia~2', 'Pakistan~2', 'South Africa~2', 'Algeria~1', 'Bangladesh~1']"
162,30,"['2024~3', '2023~6', '2022~8', '2021~6', '2020~5', '2019~2']","['Agricultural and Biological Sciences~15', 'Chemistry~10', 'Biochemistry, Genetics and Molecular Biology~6', 'Environmental Science~5', 'Engineering~4', 'Medicine~4', 'Immunology and Microbiology~3', 'Veterinary~3', 'Materials Science~2', 'Chemical Engineering~1']","['China~9', 'India~5', 'Malaysia~4', 'Nigeria~3', 'Thailand~3', 'United States~2', 'Argentina~1', 'Belgium~1', 'Brazil~1', 'Cyprus~1']"
163,30,"['2024~3', '2023~6', '2022~4', '2021~12', '2020~1', '2019~4']","['Chemistry~21', 'Chemical Engineering~10', 'Materials Science~10', 'Biochemistry, Genetics and Molecular Biology~7', 'Engineering~5', 'Physics and Astronomy~5', 'Environmental Science~1', 'Immunology and Microbiology~1', 'Mathematics~1']","['India~8', 'China~6', 'Thailand~3', 'South Korea~2', 'Spain~2', 'Turkey~2', 'Bangladesh~1', 'Canada~1', 'Czech Republic~1', 'Ecuador~1']"
164,29,"['2024~4', '2023~6', '2022~8', '2021~6', '2020~4', '2019~1']","['Agricultural and Biological Sciences~14', 'Environmental Science~12', 'Energy~8', 'Biochemistry, Genetics and Molecular Biology~7', 'Chemical Engineering~6', 'Medicine~5', 'Immunology and Microbiology~4', 'Engineering~3', 'Chemistry~2', 'Computer Science~1']","['China~16', 'India~4', 'United States~4', 'South Korea~2', 'United Kingdom~2', 'Australia~1', 'Czech Republic~1', 'Egypt~1', 'Hong Kong~1', 'Iceland~1']"
165,29,"['2024~1', '2023~4', '2022~7', '2021~3', '2020~8', '2019~4', '2018~2']","['Agricultural and Biological Sciences~18', 'Environmental Science~16', 'Immunology and Microbiology~5', 'Biochemistry, Genetics and Molecular Biology~3', 'Medicine~3', 'Decision Sciences~2', 'Energy~2', 'Social Sciences~2', 'Computer Science~1', 'Earth and Planetary Sciences~1']","['China~12', 'France~9', 'Thailand~9', 'Switzerland~5', 'United States~4', 'Italy~3', 'United Kingdom~3', 'Congo~2', 'Indonesia~2', 'Malaysia~2']"
166,29,"['2024~5', '2023~6', '2022~6', '2021~7', '2020~2', '2019~2', '2018~1']","['Agricultural and Biological Sciences~23', 'Biochemistry, Genetics and Molecular Biology~11', 'Chemical Engineering~8', 'Engineering~6', 'Immunology and Microbiology~6', 'Chemistry~5', 'Environmental Science~4', 'Computer Science~1', 'Energy~1', 'Materials Science~1']","['Thailand~12', 'India~7', 'China~3', 'Brazil~2', 'Japan~2', 'Turkey~2', 'Austria~1', 'Colombia~1', 'France~1', 'Indonesia~1']"
167,29,"['2024~4', '2023~3', '2022~5', '2021~2', '2020~9', '2019~6']","['Materials Science~17', 'Chemistry~16', 'Energy~16', 'Engineering~13', 'Chemical Engineering~6', 'Biochemistry, Genetics and Molecular Biology~4', 'Physics and Astronomy~4', 'Environmental Science~3', 'Agricultural and Biological Sciences~1', 'Medicine~1']","['China~9', 'Hong Kong~5', 'United States~5', 'Japan~4', 'Germany~3', 'United Kingdom~3', 'Czech Republic~2', 'South Korea~2', 'Spain~2', 'Thailand~2']"
168,29,"['2024~2', '2023~6', '2022~11', '2021~3', '2020~4', '2018~3']","['Pharmacology, Toxicology and Pharmaceutics~16', 'Biochemistry, Genetics and Molecular Biology~15', 'Chemistry~15', 'Medicine~4', 'Agricultural and Biological Sciences~3', 'Earth and Planetary Sciences~2', 'Environmental Science~2', 'Immunology and Microbiology~2', 'Chemical Engineering~1', 'Engineering~1']","['China~12', 'Australia~3', 'United States~3', 'Germany~2', 'Indonesia~2', 'Japan~2', 'New Zealand~2', 'Portugal~2', 'Cape Verde~1', 'Fiji~1']"
169,28,"['2024~2', '2023~3', '2022~9', '2021~7', '2020~3', '2019~4']","['Agricultural and Biological Sciences~20', 'Immunology and Microbiology~5', 'Biochemistry, Genetics and Molecular Biology~4', 'Medicine~3', 'Environmental Science~2', 'Veterinary~2', 'Chemical Engineering~1', 'Multidisciplinary~1']","['Thailand~15', 'China~4', 'India~3', 'Indonesia~3', 'United Kingdom~3', 'Malaysia~2', 'Australia~1', 'Bangladesh~1', 'Ireland~1', 'Mexico~1']"
170,28,"['2024~6', '2023~3', '2022~5', '2021~4', '2020~8', '2019~2']","['Materials Science~14', 'Chemistry~9', 'Engineering~9', 'Biochemistry, Genetics and Molecular Biology~6', 'Chemical Engineering~6', 'Environmental Science~4', 'Medicine~3', 'Agricultural and Biological Sciences~2', 'Multidisciplinary~2', 'Pharmacology, Toxicology and Pharmaceutics~2']","['India~7', 'China~6', 'Bangladesh~3', 'France~3', 'Malaysia~3', 'United States~3', 'Saudi Arabia~2', 'Singapore~2', 'Australia~1', 'Brazil~1']"
171,28,"['2024~4', '2023~4', '2022~8', '2021~6', '2020~3', '2019~3']","['Environmental Science~15', 'Chemistry~9', 'Medicine~8', 'Physics and Astronomy~6', 'Energy~4', 'Materials Science~4', 'Agricultural and Biological Sciences~3', 'Engineering~3', 'Biochemistry, Genetics and Molecular Biology~1', 'Chemical Engineering~1']","['Thailand~6', 'Japan~3', 'Turkey~3', 'Viet Nam~3', 'China~2', 'Italy~2', 'Syrian Arab Republic~2', 'Taiwan~2', 'Bangladesh~1', 'Brazil~1']"
172,28,"['2023~4', '2022~9', '2021~5', '2020~5', '2019~5']","['Computer Science~24', 'Engineering~18', 'Materials Science~7', 'Mathematics~5', 'Decision Sciences~2', 'Physics and Astronomy~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Chemistry~1', 'Social Sciences~1']","['Viet Nam~13', 'Thailand~9', 'China~6', 'Luxembourg~3', 'Sweden~3', 'Australia~2', 'Canada~2', 'India~2', 'Kazakhstan~2', 'United Kingdom~2']"
173,27,"['2025~1', '2024~8', '2023~4', '2022~4', '2021~8', '2020~2']","['Social Sciences~18', 'Computer Science~11', 'Business, Management and Accounting~6', 'Engineering~6', 'Decision Sciences~3', 'Economics, Econometrics and Finance~2', 'Energy~2', 'Arts and Humanities~1', 'Environmental Science~1', 'Health Professions~1']","['Indonesia~8', 'Ireland~4', 'Australia~3', 'Canada~3', 'India~3', 'United States~3', 'China~2', 'Netherlands~2', 'United Kingdom~2', 'Chile~1']"
174,27,"['2024~8', '2023~3', '2022~4', '2021~5', '2020~5', '2019~2']","['Agricultural and Biological Sciences~19', 'Chemical Engineering~9', 'Engineering~8', 'Chemistry~7', 'Biochemistry, Genetics and Molecular Biology~5', 'Business, Management and Accounting~2', 'Medicine~2', 'Social Sciences~2', 'Earth and Planetary Sciences~1', 'Energy~1']","['China~6', 'Mexico~4', 'Turkey~3', 'India~2', 'Indonesia~2', 'Pakistan~2', 'Thailand~2', 'Argentina~1', 'Belarus~1', 'Canada~1']"
175,27,"['2024~3', '2023~3', '2022~4', '2021~3', '2020~6', '2019~6', '2018~2']","['Materials Science~23', 'Engineering~12', 'Chemistry~8', 'Physics and Astronomy~7', 'Chemical Engineering~5', 'Computer Science~4', 'Biochemistry, Genetics and Molecular Biology~1', 'Energy~1', 'Multidisciplinary~1']","['China~12', 'Thailand~6', 'United States~3', 'Iran~2', 'Australia~1', 'Canada~1', 'Germany~1', 'Hong Kong~1', 'India~1', 'Slovenia~1']"
176,27,"['2024~2', '2023~4', '2022~2', '2021~5', '2020~7', '2019~7']","['Agricultural and Biological Sciences~22', 'Environmental Science~10', 'Biochemistry, Genetics and Molecular Biology~5', 'Immunology and Microbiology~5', 'Medicine~3', 'Veterinary~2', 'Computer Science~1', 'Energy~1', 'Social Sciences~1']","['Thailand~8', 'China~6', 'Malaysia~4', 'Norway~4', 'United States~4', 'Australia~3', 'Brazil~3', 'United Kingdom~3', 'Egypt~2', 'Ireland~2']"
177,27,"['2024~5', '2023~2', '2022~11', '2021~7', '2020~1', '2019~1']","['Biochemistry, Genetics and Molecular Biology~12', 'Pharmacology, Toxicology and Pharmaceutics~6', 'Agricultural and Biological Sciences~5', 'Chemical Engineering~5', 'Chemistry~5', 'Immunology and Microbiology~4', 'Medicine~4', 'Environmental Science~3', 'Multidisciplinary~3', 'Computer Science~2']","['Cameroon~3', 'China~3', 'India~3', 'Indonesia~3', 'Pakistan~3', 'Egypt~2', 'Portugal~2', 'South Africa~2', 'Austria~1', 'Brazil~1']"
178,27,"['2024~3', '2023~1', '2022~5', '2021~8', '2020~6', '2019~4']","['Agricultural and Biological Sciences~13', 'Immunology and Microbiology~11', 'Veterinary~11', 'Biochemistry, Genetics and Molecular Biology~5', 'Medicine~4', 'Environmental Science~2', 'Chemical Engineering~1', 'Chemistry~1', 'Energy~1', 'Materials Science~1']","['Thailand~13', 'India~4', 'United States~4', 'Brazil~3', 'Israel~3', 'Singapore~2', 'Switzerland~2', 'Belgium~1', 'Canada~1', 'China~1']"
179,26,"['2024~2', '2023~8', '2022~6', '2021~5', '2020~4', '2019~1']","['Agricultural and Biological Sciences~22', 'Chemistry~4', 'Environmental Science~3', 'Nursing~3', 'Chemical Engineering~2', 'Engineering~2', 'Immunology and Microbiology~2', 'Multidisciplinary~2', 'Social Sciences~2', 'Biochemistry, Genetics and Molecular Biology~1']",[]
180,26,"['2024~4', '2023~2', '2022~6', '2021~12', '2020~1', '2019~1']","['Agricultural and Biological Sciences~19', 'Environmental Science~9', 'Earth and Planetary Sciences~4', 'Biochemistry, Genetics and Molecular Biology~3', 'Chemical Engineering~2', 'Engineering~2', 'Immunology and Microbiology~2', 'Multidisciplinary~2', 'Business, Management and Accounting~1', 'Energy~1']","['Thailand~11', 'Indonesia~6', 'China~3', 'Brazil~2', 'Colombia~1', 'France~1', 'Germany~1', 'Ghana~1', 'India~1', 'Mexico~1']"
181,26,"['2025~1', '2024~3', '2023~3', '2022~7', '2021~2', '2020~6', '2019~4']","['Agricultural and Biological Sciences~20', 'Engineering~7', 'Immunology and Microbiology~6', 'Biochemistry, Genetics and Molecular Biology~4', 'Health Professions~3', 'Medicine~3', 'Social Sciences~3', 'Business, Management and Accounting~2', 'Chemical Engineering~2', 'Computer Science~2']","['United States~6', 'Brazil~3', 'China~3', 'Canada~2', 'India~2', 'Italy~2', 'Pakistan~2', 'Spain~2', 'Albania~1', 'Egypt~1']"
182,26,"['2024~3', '2023~4', '2022~5', '2021~6', '2020~3', '2019~4', '2018~1']","['Chemical Engineering~14', 'Chemistry~12', 'Physics and Astronomy~10', 'Materials Science~8', 'Pharmacology, Toxicology and Pharmaceutics~5', 'Biochemistry, Genetics and Molecular Biology~3', 'Agricultural and Biological Sciences~2', 'Environmental Science~2', 'Engineering~1', 'Medicine~1']","['Brazil~8', 'India~6', 'France~2', 'Thailand~2', 'United Kingdom~2', 'Canada~1', 'China~1', 'Egypt~1', 'Indonesia~1', 'Iran~1']"
183,26,"['2024~6', '2023~4', '2022~1', '2021~5', '2020~4', '2019~5', '2018~1']","['Agricultural and Biological Sciences~16', 'Biochemistry, Genetics and Molecular Biology~9', 'Materials Science~6', 'Chemical Engineering~4', 'Environmental Science~4', 'Chemistry~3', 'Engineering~3', 'Immunology and Microbiology~2', 'Medicine~2', 'Pharmacology, Toxicology and Pharmaceutics~2']","['China~5', 'Thailand~5', 'India~4', 'Brazil~3', 'Malaysia~3', 'Mexico~2', 'Argentina~1', 'Australia~1', 'Egypt~1', 'Indonesia~1']"
184,26,"['2025~1', '2024~1', '2022~5', '2021~8', '2020~6', '2019~4', '2018~1']","['Medicine~18', 'Nursing~8', 'Computer Science~2', 'Health Professions~2', 'Social Sciences~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Chemical Engineering~1', 'Decision Sciences~1', 'Earth and Planetary Sciences~1', 'Engineering~1']","['Thailand~7', 'Malaysia~5', 'United States~4', 'Australia~2', 'Turkey~2', 'United Kingdom~2', 'Brazil~1', 'Canada~1', 'Chile~1', 'China~1']"
185,26,"['2024~3', '2023~5', '2022~5', '2021~8', '2020~3', '2019~2']","['Engineering~9', 'Social Sciences~8', 'Agricultural and Biological Sciences~6', 'Decision Sciences~5', 'Earth and Planetary Sciences~5', 'Energy~5', 'Environmental Science~5', 'Materials Science~4', 'Mathematics~4', 'Multidisciplinary~3']","['Thailand~19', 'Indonesia~3', 'United States~3', 'India~2', 'China~1', 'Hungary~1', 'Japan~1']"
186,25,"['2024~5', '2023~3', '2022~3', '2021~9', '2020~3', '2019~2']","['Chemistry~11', 'Agricultural and Biological Sciences~10', 'Biochemistry, Genetics and Molecular Biology~8', 'Materials Science~5', 'Chemical Engineering~3', 'Pharmacology, Toxicology and Pharmaceutics~3', 'Physics and Astronomy~3', 'Environmental Science~2', 'Medicine~1', 'Multidisciplinary~1']","['Canada~5', 'Spain~5', 'Thailand~5', 'United States~4', 'China~2', 'Finland~2', 'Germany~2', 'Italy~2', 'Austria~1', 'Belgium~1']"
187,25,"['2024~5', '2023~3', '2022~4', '2021~7', '2020~5', '2019~1']","['Agricultural and Biological Sciences~18', 'Engineering~18', 'Computer Science~6', 'Energy~3', 'Chemical Engineering~2', 'Earth and Planetary Sciences~2', 'Environmental Science~2', 'Business, Management and Accounting~1', 'Mathematics~1', 'Multidisciplinary~1']","['India~9', 'China~8', 'South Korea~2', 'Italy~1', 'Kenya~1', 'Thailand~1', 'Ukraine~1', 'United States~1', 'Uzbekistan~1']"
188,25,"['2024~5', '2023~2', '2022~2', '2021~1', '2020~8', '2019~5', '2018~2']","['Agricultural and Biological Sciences~19', 'Environmental Science~11', 'Biochemistry, Genetics and Molecular Biology~6', 'Energy~3', 'Medicine~3', 'Computer Science~1', 'Earth and Planetary Sciences~1', 'Multidisciplinary~1', 'Neuroscience~1', 'Social Sciences~1']","['China~10', 'Indonesia~10', 'Viet Nam~9', 'Australia~8', 'United States~7', 'United Kingdom~4', 'Canada~3', 'Colombia~3', 'Italy~3', 'Kenya~3']"
189,25,"['2024~2', '2023~2', '2022~9', '2021~3', '2020~4', '2019~5']","['Energy~15', 'Engineering~10', 'Environmental Science~8', 'Chemical Engineering~6', 'Chemistry~4', 'Physics and Astronomy~4', 'Mathematics~3', 'Agricultural and Biological Sciences~2', 'Business, Management and Accounting~1', 'Earth and Planetary Sciences~1']","['India~9', 'Thailand~3', 'China~2', 'Colombia~2', 'Malaysia~2', 'Saudi Arabia~2', 'South Korea~2', 'Turkey~2', 'Viet Nam~2', 'Chile~1']"
190,25,"['2025~1', '2024~6', '2023~3', '2022~2', '2021~3', '2020~4', '2019~6']","['Immunology and Microbiology~17', 'Medicine~15', 'Veterinary~14', 'Agricultural and Biological Sciences~11', 'Biochemistry, Genetics and Molecular Biology~3', 'Environmental Science~1', 'Multidisciplinary~1', 'Neuroscience~1']","['Brazil~5', 'China~3', 'Czech Republic~3', 'Australia~2', 'France~2', 'Germany~2', 'Indonesia~2', 'Japan~2', 'Russian Federation~2', 'Tanzania~2']"
191,25,"['2024~4', '2023~5', '2022~6', '2021~6', '2020~3', '2019~1']","['Medicine~21', 'Health Professions~16', 'Engineering~3', 'Multidisciplinary~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Business, Management and Accounting~1', 'Computer Science~1', 'Social Sciences~1']","['United Kingdom~10', 'Australia~9', 'United States~6', 'Singapore~4', 'China~2', 'Ireland~2', 'New Zealand~2', 'Belgium~1', 'Denmark~1', 'Germany~1']"
192,25,"['2024~4', '2023~5', '2022~3', '2021~4', '2020~5', '2019~4']","['Chemistry~18', 'Chemical Engineering~16', 'Materials Science~5', 'Physics and Astronomy~5', 'Energy~4', 'Engineering~2', 'Environmental Science~2', 'Biochemistry, Genetics and Molecular Biology~1', 'Medicine~1']","['China~15', 'Thailand~3', 'Canada~2', 'Germany~2', 'United States~2', 'Hong Kong~1', 'Iran~1', 'Slovenia~1', 'South Korea~1', 'United Kingdom~1']"
193,25,"['2025~1', '2023~9', '2022~6', '2021~1', '2020~3', '2019~2', '2018~3']","['Physics and Astronomy~24', 'Materials Science~9', 'Engineering~8', 'Mathematics~3', 'Computer Science~2', 'Chemical Engineering~1', 'Chemistry~1', 'Earth and Planetary Sciences~1', 'Energy~1', 'Multidisciplinary~1']","['Thailand~14', 'China~5', 'India~3', 'Iran~2', 'Canada~1', 'Germany~1', 'United States~1']"
194,25,"['2024~2', '2023~4', '2022~5', '2021~4', '2020~3', '2019~4', '2018~3']","['Agricultural and Biological Sciences~25', 'Engineering~7', 'Social Sciences~6', 'Health Professions~5', 'Immunology and Microbiology~5', 'Chemical Engineering~4', 'Chemistry~4', 'Biochemistry, Genetics and Molecular Biology~3']","['Thailand~10', 'India~5', 'Spain~4', 'Viet Nam~4', 'Ireland~2', 'United States~2', 'China~1', 'Malaysia~1', 'New Zealand~1', 'South Korea~1']"
195,25,"['2024~1', '2023~3', '2022~7', '2021~3', '2020~3', '2019~6', '2018~2']","['Medicine~13', 'Biochemistry, Genetics and Molecular Biology~11', 'Immunology and Microbiology~7', 'Chemical Engineering~3', 'Chemistry~3', 'Computer Science~3', 'Pharmacology, Toxicology and Pharmaceutics~3', 'Multidisciplinary~2', 'Neuroscience~2']","['China~7', 'United States~7', 'India~3', 'Thailand~3', 'Brazil~2', 'France~2', 'Italy~2', 'Argentina~1', 'Austria~1', 'Canada~1']"
196,25,"['2024~2', '2023~5', '2022~6', '2021~3', '2020~4', '2019~4', '2018~1']","['Environmental Science~10', 'Social Sciences~10', 'Business, Management and Accounting~8', 'Economics, Econometrics and Finance~7', 'Agricultural and Biological Sciences~5', 'Energy~5', 'Engineering~5', 'Computer Science~3', 'Psychology~2', 'Decision Sciences~1']","['Italy~3', 'United Kingdom~3', 'France~2', 'Greece~2', 'Indonesia~2', 'Slovenia~2', 'Thailand~2', 'United Arab Emirates~2', 'United States~2', 'Argentina~1']"
197,24,"['2024~3', '2023~3', '2022~10', '2021~3', '2020~4', '2019~1']","['Energy~13', 'Chemical Engineering~12', 'Chemistry~11', 'Engineering~5', 'Environmental Science~5', 'Computer Science~2', 'Materials Science~2', 'Social Sciences~2', 'Agricultural and Biological Sciences~1', 'Mathematics~1']","['Thailand~6', 'Indonesia~5', 'China~4', 'India~2', 'Malaysia~2', 'Spain~2', 'Taiwan~2', 'Australia~1', 'Brazil~1', 'Egypt~1']"
198,24,"['2024~2', '2023~5', '2022~10', '2021~3', '2020~4']","['Agricultural and Biological Sciences~16', 'Biochemistry, Genetics and Molecular Biology~6', 'Engineering~5', 'Chemistry~4', 'Chemical Engineering~3', 'Computer Science~2', 'Health Professions~2', 'Immunology and Microbiology~2', 'Medicine~2', 'Pharmacology, Toxicology and Pharmaceutics~2']","['Indonesia~5', 'Mexico~4', 'China~3', 'Iran~2', 'Thailand~2', 'Australia~1', 'Brazil~1', 'Costa Rica~1', 'France~1', 'Germany~1']"
199,24,"['2024~8', '2023~5', '2022~3', '2021~4', '2020~2', '2019~2']","['Agricultural and Biological Sciences~9', 'Environmental Science~9', 'Chemistry~6', 'Medicine~6', 'Biochemistry, Genetics and Molecular Biology~4', 'Chemical Engineering~3', 'Earth and Planetary Sciences~2', 'Engineering~2', 'Pharmacology, Toxicology and Pharmaceutics~2', 'Computer Science~1']","['Iran~7', 'Thailand~6', 'China~3', 'Bangladesh~2', 'France~2', 'Turkey~2', 'Algeria~1', 'Brazil~1', 'Hungary~1', 'Indonesia~1']"
200,24,"['2024~6', '2023~5', '2022~8', '2021~2', '2020~1', '2019~2']","['Immunology and Microbiology~16', 'Medicine~9', 'Veterinary~7', 'Biochemistry, Genetics and Molecular Biology~5', 'Agricultural and Biological Sciences~2', 'Multidisciplinary~1']","['China~18', 'Japan~3', 'Australia~2', 'France~1', 'Hong Kong~1', 'Netherlands~1', 'South Korea~1', 'Thailand~1']"
201,24,"['2024~4', '2023~6', '2022~6', '2021~4', '2020~2', '2019~1', '2018~1']","['Agricultural and Biological Sciences~20', 'Biochemistry, Genetics and Molecular Biology~4', 'Medicine~4', 'Chemical Engineering~3', 'Chemistry~3', 'Engineering~3', 'Immunology and Microbiology~3', 'Environmental Science~2', 'Health Professions~2', 'Nursing~2']","['China~10', 'Japan~4', 'Thailand~4', 'United States~3', 'India~2', 'Indonesia~2', 'South Korea~2', 'Egypt~1', 'Italy~1', 'Netherlands~1']"
202,24,"['2024~3', '2023~6', '2022~5', '2021~4', '2020~4', '2019~2']","['Immunology and Microbiology~10', 'Agricultural and Biological Sciences~9', 'Medicine~9', 'Biochemistry, Genetics and Molecular Biology~4', 'Energy~4', 'Environmental Science~4', 'Engineering~2', 'Chemical Engineering~1', 'Computer Science~1', 'Multidisciplinary~1']","['India~12', 'China~4', 'Italy~3', 'South Africa~3', 'Canada~2', 'Mexico~2', 'Saudi Arabia~2', 'South Korea~2', 'Argentina~1', 'Egypt~1']"
203,24,"['2024~2', '2023~7', '2022~4', '2021~7', '2020~4']","['Computer Science~13', 'Engineering~13', 'Mathematics~6', 'Physics and Astronomy~5', 'Agricultural and Biological Sciences~4', 'Business, Management and Accounting~4', 'Decision Sciences~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Chemistry~2', 'Environmental Science~2']","['India~8', 'Indonesia~4', 'Nigeria~3', 'Philippines~3', 'Japan~2', 'Morocco~2', 'Bahrain~1', 'Brazil~1', 'Italy~1', 'Malaysia~1']"
204,24,"['2024~2', '2023~5', '2022~3', '2021~6', '2020~3', '2019~1', '2018~4']","['Agricultural and Biological Sciences~23', 'Environmental Science~10', 'Multidisciplinary~1']",[]
205,24,"['2024~5', '2023~10', '2022~2', '2021~4', '2020~1', '2019~2']","['Agricultural and Biological Sciences~12', 'Environmental Science~5', 'Biochemistry, Genetics and Molecular Biology~4', 'Multidisciplinary~4', 'Engineering~3', 'Chemical Engineering~2', 'Chemistry~2', 'Business, Management and Accounting~1', 'Pharmacology, Toxicology and Pharmaceutics~1']","['Brazil~4', 'Australia~2', 'China~2', 'India~2', 'Indonesia~2', 'Japan~2', 'Malaysia~2', 'Saudi Arabia~2', 'Sri Lanka~2', 'Thailand~2']"
206,24,"['2024~7', '2023~7', '2022~5', '2021~2', '2020~3']","['Agricultural and Biological Sciences~23', 'Chemistry~4', 'Engineering~4', 'Biochemistry, Genetics and Molecular Biology~3', 'Nursing~3', 'Chemical Engineering~2', 'Immunology and Microbiology~2', 'Health Professions~1', 'Social Sciences~1']","['China~10', 'Thailand~7', 'India~4', 'Germany~2', 'Japan~2', 'Brazil~1', 'Canada~1', 'Indonesia~1', 'Iran~1', 'Philippines~1']"
207,24,"['2023~4', '2022~6', '2021~7', '2020~1', '2019~2', '2018~4']","['Agricultural and Biological Sciences~18', 'Environmental Science~9', 'Earth and Planetary Sciences~5', 'Multidisciplinary~3', 'Biochemistry, Genetics and Molecular Biology~2', 'Arts and Humanities~1', 'Computer Science~1', 'Decision Sciences~1', 'Economics, Econometrics and Finance~1', 'Engineering~1']","['Japan~12', 'United States~9', 'China~4', 'Philippines~4', 'Germany~3', 'Australia~2', 'Austria~2', 'India~2', 'Malaysia~2', 'Norway~2']"
208,23,"['2024~3', '2023~6', '2022~7', '2021~3', '2020~3', '2019~1']","['Agricultural and Biological Sciences~13', 'Computer Science~5', 'Environmental Science~4', 'Chemical Engineering~2', 'Energy~2', 'Engineering~2', 'Multidisciplinary~2', 'Social Sciences~2', 'Decision Sciences~1', 'Earth and Planetary Sciences~1']","['Mexico~5', 'Thailand~5', 'Brazil~2', 'China~2', 'India~2', 'Nigeria~2', 'South Korea~2', 'Argentina~1', 'Australia~1', 'Botswana~1']"
209,23,"['2024~5', '2023~4', '2022~4', '2021~5', '2020~2', '2019~2', '2018~1']","['Agricultural and Biological Sciences~18', 'Biochemistry, Genetics and Molecular Biology~10', 'Chemical Engineering~2', 'Chemistry~2', 'Computer Science~2', 'Environmental Science~1', 'Medicine~1', 'Multidisciplinary~1']","['Thailand~16', 'United States~9', 'China~2', 'India~2', 'Brazil~1', 'Czech Republic~1', 'Japan~1', 'Pakistan~1']"
210,23,"['2024~4', '2023~3', '2022~3', '2021~5', '2020~3', '2019~5']","['Agricultural and Biological Sciences~13', 'Chemistry~7', 'Chemical Engineering~5', 'Environmental Science~5', 'Engineering~4', 'Biochemistry, Genetics and Molecular Biology~3', 'Materials Science~3', 'Immunology and Microbiology~2', 'Pharmacology, Toxicology and Pharmaceutics~2', 'Earth and Planetary Sciences~1']","['Thailand~8', 'China~6', 'United States~3', 'South Korea~2', 'Argentina~1', 'Brazil~1', 'Greece~1', 'Indonesia~1', 'Mexico~1', 'Spain~1']"
211,23,"['2025~1', '2024~6', '2023~5', '2022~4', '2021~4', '2020~3']","['Computer Science~18', 'Engineering~8', 'Social Sciences~8', 'Mathematics~3', 'Business, Management and Accounting~1', 'Materials Science~1', 'Multidisciplinary~1']","['China~5', 'India~5', 'United Kingdom~3', 'Peru~2', 'Sweden~2', 'United States~2', 'Finland~1', 'Germany~1', 'Indonesia~1', 'Iraq~1']"
212,23,"['2024~3', '2023~7', '2022~4', '2021~3', '2020~6']","['Environmental Science~17', 'Agricultural and Biological Sciences~11', 'Earth and Planetary Sciences~11', 'Energy~2', 'Social Sciences~2', 'Chemical Engineering~1', 'Chemistry~1', 'Computer Science~1', 'Mathematics~1']","['China~6', 'United States~6', 'Canada~3', 'Germany~3', 'Japan~3', 'India~2', 'Indonesia~2', 'Thailand~2', 'Brazil~1', 'Colombia~1']"
213,23,"['2024~4', '2023~2', '2022~6', '2021~3', '2020~4', '2019~3', '2018~1']","['Agricultural and Biological Sciences~13', 'Immunology and Microbiology~10', 'Medicine~10', 'Biochemistry, Genetics and Molecular Biology~7', 'Veterinary~4', 'Earth and Planetary Sciences~2', 'Environmental Science~2', 'Multidisciplinary~1']","['Thailand~10', 'China~4', 'France~4', 'Czech Republic~2', 'Japan~2', 'Pakistan~2', 'South Korea~2', 'Croatia~1', 'Indonesia~1', 'Iran~1']"
214,23,"['2023~3', '2022~5', '2021~5', '2020~6', '2019~3', '2018~1']","['Materials Science~15', 'Physics and Astronomy~13', 'Engineering~12', 'Chemistry~5', 'Biochemistry, Genetics and Molecular Biology~3', 'Chemical Engineering~2', 'Mathematics~2', 'Agricultural and Biological Sciences~1', 'Computer Science~1', 'Medicine~1']","['Malaysia~8', 'China~6', 'Iraq~3', 'Saudi Arabia~3', 'South Korea~3', 'India~2', 'Indonesia~2', 'Iran~2', 'Yemen~2', 'Algeria~1']"
215,23,"['2024~3', '2023~3', '2022~6', '2021~5', '2020~2', '2019~4']","['Chemistry~12', 'Biochemistry, Genetics and Molecular Biology~8', 'Agricultural and Biological Sciences~4', 'Chemical Engineering~4', 'Environmental Science~4', 'Immunology and Microbiology~4', 'Medicine~4', 'Pharmacology, Toxicology and Pharmaceutics~3', 'Computer Science~2', 'Economics, Econometrics and Finance~1']","['China~12', 'Thailand~7', 'Austria~3', 'Ireland~3', 'United States~3', 'Qatar~2', 'Australia~1', 'Egypt~1', 'Ethiopia~1', 'Finland~1']"
216,23,"['2024~4', '2023~3', '2022~3', '2021~6', '2020~2', '2019~4', '2018~1']","['Chemistry~20', 'Physics and Astronomy~9', 'Chemical Engineering~6', 'Energy~3', 'Engineering~3', 'Materials Science~3', 'Environmental Science~1']","['Thailand~13', 'Austria~6', 'China~6', 'United States~2', 'Germany~1', 'India~1', 'Iran~1', 'Japan~1', 'Spain~1']"
