filename,scopus_link,citedby_link
201800517.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053704860&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053704860&origin=inward
201800518.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053614528&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053614528&origin=inward
201800519.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053476831&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053476831&origin=inward
201800520.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053437232&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053437232&origin=inward
201800521.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053390408&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053390408&origin=inward
201800522.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053250307&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053250307&origin=inward
201800523.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053228319&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053228319&origin=inward
201800524.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053164279&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053164279&origin=inward
201800525.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85053107586&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053107586&origin=inward
201800526.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052940418&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052940418&origin=inward
201800527.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052825627&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052825627&origin=inward
201800528.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052814087&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052814087&origin=inward
201800529.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052697060&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052697060&origin=inward
201800530.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052672218&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052672218&origin=inward
201800531.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052664154&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052664154&origin=inward
201800532.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052636861&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052636861&origin=inward
201800533.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052541960&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052541960&origin=inward
201800534.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052536503&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052536503&origin=inward
201800535.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052461855&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052461855&origin=inward
201800536.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052442785&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052442785&origin=inward
201800537.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052438012&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052438012&origin=inward
201800538.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051792172&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051792172&origin=inward
201800539.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051721647&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051721647&origin=inward
201800540.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051661940&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051661940&origin=inward
201800541.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051567942&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051567942&origin=inward
201800542.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051497857&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051497857&origin=inward
201800543.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051300769&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051300769&origin=inward
201800544.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051278176&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051278176&origin=inward
201800545.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051248599&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051248599&origin=inward
201800546.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051137594&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051137594&origin=inward
201800547.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051041275&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051041275&origin=inward
201800548.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85051003161&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051003161&origin=inward
201800549.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050968237&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050968237&origin=inward
201800550.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050919447&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050919447&origin=inward
201800551.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050865759&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050865759&origin=inward
201800552.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050374171&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050374171&origin=inward
201800553.json,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050344082&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050344082&origin=inward
