order,citations_count,title,cities_link,main_link
1,242,Active and intelligent packaging: The indication of quality and safety,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85021412297,https://www.scopus.com/record/display.uri?eid=2-s2.0-85021412297&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=0
2,217,Bacterial cellulose-based scaffold materials for bone tissue engineering,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041507752,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041507752&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1
3,141,Effect of cellulose nanocrystals from sugarcane bagasse on whey protein isolate-based films,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85042766439,https://www.scopus.com/record/display.uri?eid=2-s2.0-85042766439&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=2
4,137,"Enhanced activity, selectivity and stability of a CuO-ZnO-ZrO2 catalyst by adding graphene oxide for CO2 hydrogenation to methanol",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85035126752,https://www.scopus.com/record/display.uri?eid=2-s2.0-85035126752&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=3
5,134,"Diversity, biogeography and conservation of freshwater mussels (Bivalvia: Unionida) in East and Southeast Asia",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85011659310,https://www.scopus.com/record/display.uri?eid=2-s2.0-85011659310&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=4
6,132,Factors influencing corrosion of metal pipes in soils,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044477433,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044477433&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=5
7,132,Gluten-free bakery and pasta products: prevalence and quality improvement,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041018322,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041018322&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=6
8,128,Thermal performance in solar air heater with perforated-winglet-type vortex generator,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85049355584,https://www.scopus.com/record/display.uri?eid=2-s2.0-85049355584&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=7
9,128,Characterization of pectin extracted from banana peels of different varieties,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85047660348,https://www.scopus.com/record/display.uri?eid=2-s2.0-85047660348&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=8
10,128,MERS coronaviruses from camels in Africa exhibit region-dependent genetic diversity,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044278309,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044278309&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=9
11,115,The EQ-5D-5L Valuation study in Thailand,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85049627841,https://www.scopus.com/record/display.uri?eid=2-s2.0-85049627841&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=10
12,107,Molecular interaction of 1-aminocyclopropane-1-carboxylate deaminase (ACCD)-producing endophytic Streptomyces sp. GMKU 336 towards salt-stress resistance of Oryza sativa L. cv. KDML105,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041375312,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041375312&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=11
13,99,Intracellular Ca2+ stores control in vivo neuronal hyperactivity in a mouse model of Alzheimer's disease,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041657101,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041657101&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=12
14,93,Assessing the intentions to use internet banking: The role of perceived risk and trust as mediating factors,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044211349,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044211349&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=13
15,90,Physicochemical and functional properties of protein concentrate from by-product of coconut processing,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85028749152,https://www.scopus.com/record/display.uri?eid=2-s2.0-85028749152&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=14
16,86,Lipid catabolism in microalgae,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85042348927,https://www.scopus.com/record/display.uri?eid=2-s2.0-85042348927&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=15
17,85,Rethinking Thai higher education for Thailand 4.0,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85045414902,https://www.scopus.com/record/display.uri?eid=2-s2.0-85045414902&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=16
18,84,The effect of temperature on growth and lipid and fatty acid composition on marine microalgae used for biodiesel production,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85020705238,https://www.scopus.com/record/display.uri?eid=2-s2.0-85020705238&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=17
19,82,Development and validation of a reverse transcription quantitative polymerase chain reaction for tilapia lake virus detection in clinical samples and experimentally challenged fish,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85031327736,https://www.scopus.com/record/display.uri?eid=2-s2.0-85031327736&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=18
20,81,Properties of lead-free gamma-ray shielding materials from metal oxide/EPDM rubber composites,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85052912423,https://www.scopus.com/record/display.uri?eid=2-s2.0-85052912423&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=19
21,80,Green reducing agents for indigo dyeing on cotton fabrics,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85049309152,https://www.scopus.com/record/display.uri?eid=2-s2.0-85049309152&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=20
22,79,High performance of photosynthesis and osmotic adjustment are associated with salt tolerance ability in rice carrying drought tolerance QTL: Physiological and co-expression network analysis,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85051997237,https://www.scopus.com/record/display.uri?eid=2-s2.0-85051997237&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=21
23,79,Deoxygenation of oleic acid under an inert atmosphere using molybdenum oxide-based catalysts,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85046085322,https://www.scopus.com/record/display.uri?eid=2-s2.0-85046085322&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=22
24,76,Organic acid pretreatment of oil palm trunk: Effect on enzymatic saccharification and ethanol production,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85038127610,https://www.scopus.com/record/display.uri?eid=2-s2.0-85038127610&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=23
25,75,Biodegradable rice starch/carboxymethyl chitosan films with added propolis extract for potential use as active food packaging,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85052611291,https://www.scopus.com/record/display.uri?eid=2-s2.0-85052611291&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=24
26,71,Neuroprotective effect of p-coumaric acid in mice with cerebral ischemia reperfusion injuries,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85040680939,https://www.scopus.com/record/display.uri?eid=2-s2.0-85040680939&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=25
27,69,Ecosystem change and zoonoses in the Anthropocene,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85052524772,https://www.scopus.com/record/display.uri?eid=2-s2.0-85052524772&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=26
28,69,"Dissolution of K, Ca, and P from biochar grains in tropical soils",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85031776986,https://www.scopus.com/record/display.uri?eid=2-s2.0-85031776986&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=27
29,68,Genetic and metabolic engineering for microbial production of poly-γ-glutamic acid,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85048476983,https://www.scopus.com/record/display.uri?eid=2-s2.0-85048476983&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=28
30,67,Thai Hom Mali Rice: Origin and Breeding for Subsistence Rainfed Lowland Rice System,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85045087766,https://www.scopus.com/record/display.uri?eid=2-s2.0-85045087766&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=29
31,67,A revised classification of orders and families in the two major subclasses of Lecanoromycetes (Ascomycota) based on a temporal approach,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85057194898,https://www.scopus.com/record/display.uri?eid=2-s2.0-85057194898&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=30
32,66,Susceptibility of important warm water fish species to tilapia lake virus (TiLV) infection,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85051633414,https://www.scopus.com/record/display.uri?eid=2-s2.0-85051633414&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=31
33,66,Influence of wood types on quality and carcinogenic polycyclic aromatic hydrocarbons (PAHs) of smoked sausages,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85042142044,https://www.scopus.com/record/display.uri?eid=2-s2.0-85042142044&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=32
34,65,"The mycotox charter: Increasing awareness of, and concerted action for, minimizing mycotoxin exposure worldwide",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85045692925,https://www.scopus.com/record/display.uri?eid=2-s2.0-85045692925&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=33
35,63,Isolation and Identification of Tyrosinase-Inhibitory and Copper-Chelating Peptides from Hydrolyzed Rice-Bran-Derived Albumin,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85050339875,https://www.scopus.com/record/display.uri?eid=2-s2.0-85050339875&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=34
36,62,Preparation and characterization of thermoplastic potato starch/halloysite nano-biocomposites: Effect of plasticizer nature and nanoclay content,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85050505595,https://www.scopus.com/record/display.uri?eid=2-s2.0-85050505595&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=35
37,61,Chili anthracnose: Colletotrichum taxonomy and pathogenicity,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044301102,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044301102&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=36
38,61,Homogenous isolation of individualized bacterial nanofibrillated cellulose by high pressure homogenization,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85030871253,https://www.scopus.com/record/display.uri?eid=2-s2.0-85030871253&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=37
39,59,"Optical properties and versatile photocatalytic degradation ability of MAl2O4 (M = Ni, Cu, Zn) aluminate spinel nanoparticles",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044059296,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044059296&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=38
40,59,Lateral response of PET FRP-confined concrete,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85032820263,https://www.scopus.com/record/display.uri?eid=2-s2.0-85032820263&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=39
41,58,Extraction of C-phycocyanin from Arthrospira (Spirulina) and its thermal stability with citric acid,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85019211943,https://www.scopus.com/record/display.uri?eid=2-s2.0-85019211943&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=40
42,57,Moisture content prediction of paddy drying in a fluidized-bed drier with a vortex flow generator using an artificial neural network,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85053813786,https://www.scopus.com/record/display.uri?eid=2-s2.0-85053813786&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=41
43,57,Physicochemical properties and biological activities of a high-theabrownins instant Pu-erh tea produced using Aspergillus tubingensis,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85040238368,https://www.scopus.com/record/display.uri?eid=2-s2.0-85040238368&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=42
44,57,An electrochemical MIP sensor for selective detection of salbutamol based on a graphene/PEDOT:PSS modified screen printed carbon electrode,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85040254392,https://www.scopus.com/record/display.uri?eid=2-s2.0-85040254392&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=43
45,56,Urban diets linked to gut microbiome and metabolome alterations in children: A comparative cross-sectional study in Thailand,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85048926871,https://www.scopus.com/record/display.uri?eid=2-s2.0-85048926871&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=44
46,56,Lithium Bond Impact on Lithium Polysulfide Adsorption with Functionalized Carbon Fiber Paper Interlayers for Lithium-Sulfur Batteries,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85045105608,https://www.scopus.com/record/display.uri?eid=2-s2.0-85045105608&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=45
47,56,"Bis-indolyl benzenoids, hydroxypyrrolidine derivatives and other constituents from cultures of the marine sponge-associated fungus aspergillus candidus KUFA0062",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85045137221,https://www.scopus.com/record/display.uri?eid=2-s2.0-85045137221&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=46
48,56,Non-lethal sampling for Tilapia Lake Virus detection by RT-qPCR and cell culture,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85037713854,https://www.scopus.com/record/display.uri?eid=2-s2.0-85037713854&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=47
49,55,A comparative life cycle assessment of municipal wastewater treatment plants in Thailand under variable power schemes and effluent management programs,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85038865665,https://www.scopus.com/record/display.uri?eid=2-s2.0-85038865665&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=48
50,55,"Flexible, lead-free, gamma-shielding materials based on natural rubber/metal oxide composites",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85039910320,https://www.scopus.com/record/display.uri?eid=2-s2.0-85039910320&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=49
51,54,Integrating multiple attributes for sustainable development in a national park,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85052108158,https://www.scopus.com/record/display.uri?eid=2-s2.0-85052108158&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=50
52,54,"Cs4PbX6 (X = Cl, Br, I) Nanocrystals: Preparation, Water-Triggered Transformation Behavior, and Anti-Counterfeiting Application",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85052336926,https://www.scopus.com/record/display.uri?eid=2-s2.0-85052336926&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=51
53,54,Effects of Heat Stress at Vegetative and Reproductive Stages on Spikelet Fertility,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85049033748,https://www.scopus.com/record/display.uri?eid=2-s2.0-85049033748&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=52
54,54,Global spread of helminth parasites at the human–domestic animal–wildlife interface,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85041816166,https://www.scopus.com/record/display.uri?eid=2-s2.0-85041816166&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=53
55,54,Active Banana Flour Nanocomposite Films Incorporated with Garlic Essential Oil as Multifunctional Packaging Material for Food Application,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85044050564,https://www.scopus.com/record/display.uri?eid=2-s2.0-85044050564&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=54
56,54,An application of evolutionary system identification algorithm in modelling of energy production system,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85029579957,https://www.scopus.com/record/display.uri?eid=2-s2.0-85029579957&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=55
57,53,"Sliding mode heading control of an overactuated, hover-capable autonomous underwater vehicle with experimental verification",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85045528314,https://www.scopus.com/record/display.uri?eid=2-s2.0-85045528314&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=56
