order,citations_count,title,cities_link,main_link
1012,1,Sulfuric acid treatment of ZnO photoelectrode for photovoltaic improvement in dye-sensitized solar cell,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85059458507,https://www.scopus.com/record/display.uri?eid=2-s2.0-85059458507&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1011
1013,1,Fe oxidation state in heat-treated basaltic blue sapphire samples and its implication to the 3309 cm -1 -series peaks in infrared absorption spectra,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85059453414,https://www.scopus.com/record/display.uri?eid=2-s2.0-85059453414&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1012
1014,1,Oxidation state of Fe in irradiated sapphire samples by XAS technique,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85059447529,https://www.scopus.com/record/display.uri?eid=2-s2.0-85059447529&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1013
1015,1,The fabrication and characterization of asymmetric gratings using the optical Talbot effect,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85059443919,https://www.scopus.com/record/display.uri?eid=2-s2.0-85059443919&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1014
1016,1,Information gain Aggregation-based Approach for Time Series Shapelets Discovery,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85060381155,https://www.scopus.com/record/display.uri?eid=2-s2.0-85060381155&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1015
1017,1,Comparative gene clusters analysis of Cordyceps militaris and related entomopathogenic fungi,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85059885927,https://www.scopus.com/record/display.uri?eid=2-s2.0-85059885927&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1016
1018,1,Bounds on the lengths of certain series expansions,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85058616602,https://www.scopus.com/record/display.uri?eid=2-s2.0-85058616602&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1017
1019,1,Numerical investigation of design strategy on overtopping performance of multi-stage OWEC,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85060283470,https://www.scopus.com/record/display.uri?eid=2-s2.0-85060283470&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1018
1020,1,"Comparative effect of DL-methionine and DL-methionine hydroxy analogue supplemented diet on productive performance, fat accumulation and lipid profile in blood of meat-type ducks",https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85100712068,https://www.scopus.com/record/display.uri?eid=2-s2.0-85100712068&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1019
1021,1,Surgical treatment for tubular colonic duplication communicating to retroperitoneal space in an adult dog,https://www.scopus.com/search/submit/citedby.uri?origin=resultslist&src=s&eid=2-s2.0-85097277941,https://www.scopus.com/record/display.uri?eid=2-s2.0-85097277941&origin=resultslist&sort=cp-f&src=s&sid=b761fae56c7c7610cc923d0c91ec3b72&sot=b&sdt=cl&s=AFFIL%28kasetsart+university%29&sl=27&sessionSearchId=b761fae56c7c7610cc923d0c91ec3b72&relpos=1020
